Price,House_Type,Area_in_sq_ft,No._of_Bedrooms,Location,City/County
875000,Flat / Apartment,627,1,28 Wapping High Street,London
565000,Flat / Apartment,872,2,Canary Wharf,London
5850000,House,3128,5,,London
1250000,Flat / Apartment,1201,2,48 Rigault Road,London
1800000,Flat / Apartment,1453,3,Prince of Wales Drive,London
1495000,New development,1781,4,New Road,London
3100000,House,3800,8,,London
1050000,Flat / Apartment,1831,3,Wimbledon,London
1850000,House,2503,5,Wimbledon,London
730000,Flat / Apartment,1061,3,,London
2900000,House,5896,7, Surbiton,Surrey
650000,Flat / Apartment,736,2,,London
2100000,House,2438,5,Barnes,London
2250000,House,2600,5,Barnes,London
1695000,House,1867,5,,London
1375000,House,1884,4,Wimbledon,London
1400000,House,2138,5,Wandsworth,London
635000,Flat / Apartment,927,2,Putney,London
2995000,Penthouse,1845,3,,London
1000000,House,1758,4,,Ealing
449950,Flat / Apartment,526,2,South Hackney,London
425000,Flat / Apartment,474,1,Shannon Place,London
650000,House,1783,3, Coulsdon,Surrey
1795000,House,1902,3,Putney,London
1600000,Flat / Apartment,801,2,Primrose Hill,London
1750000,Flat / Apartment,1002,3,Kensington Park Gardens,London
2050000,House,2275,5,,London
1150000,Flat / Apartment,1371,3,,London
995000,House,2446,5,,London
1900000,House,1703,5,Islington,London
675000,Flat / Apartment,792,1,23 Wenlock Road,London
1500000,New development,1273,3, Hackney,London
620000,New development,786,2, Holloway,London
650000,Flat / Apartment,747,2,De Beauvoir,London
500000,Flat / Apartment,663,1,Knighten Street,London
1395000,House,2006,5,,London
2950000,House,3597,4,,London
765000,New development,841,2,Carlton Drive,London
1600000,House,1854,4,Barnes,London
975000,House,1126,3,,London
1699999,House,2119,5,Battersea,London
950000,Flat / Apartment,1294,4,Battersea,London
2150000,House,1582,3,Paddington,London
2950000,Penthouse,1840,2,St James's,London
1500000,House,1115,3,Fulham,London
650000,Flat / Apartment,882,2,Asher Way,London
950000,House,1700,4,,London
625000,Flat / Apartment,663,2,,London
4825000,House,10475,7,Oxshott,Surrey
1575000,House,1983,4,Barnes,London
2550000,House,1266,3,,London
525000,Flat / Apartment,707,2,Battersea,London
775000,Flat / Apartment,967,2,South Hackney,London
3250000,House,2210,3,Putney,London
775000,Bungalow,1459,4,Pinner,Middlesex
1775000,House,2153,5,,London
3250000,House,2543,5,Hampstead,London
700000,Flat / Apartment,797,2,59 Lurline Gardens,London
595000,Flat / Apartment,760,2,,London
525000,Flat / Apartment,540,1,Putney,London
2450000,House,3007,6,Wimbledon,London
550000,House,538,2,Wimbledon,London
3950000,House,6186,6,Wimbledon,London
600000,Flat / Apartment,1024,1,,London
1450000,House,1984,5, Wandsworth,London
5750000,House,2896,3,Belgravia,London
7500000,Flat / Apartment,1793,2,,London
180000,Flat / Apartment,745,2, Bow,London
699950,House,909,3,Richmond,Surrey
665000,Flat / Apartment,935,3, Richmond,Surrey
210000,Studio,328,0, Putney,London
1550000,House,3112,5,Northwood,Middlesex
865000,House,1292,3,,Northwood
18000000,House,8315,7,Mayfair,London
